,time,open,high,low,close,volume
131,1672474200000,8.08e-06,8.09e-06,8.07e-06,8.08e-06,6320868560.0
132,1672474500000,8.09e-06,8.09e-06,8.08e-06,8.09e-06,791261694.0
133,1672474800000,8.09e-06,8.1e-06,8.08e-06,8.09e-06,7468885718.0
134,1672475100000,8.09e-06,8.13e-06,8.09e-06,8.11e-06,24844413425.0
135,1672475400000,8.11e-06,8.13e-06,8.1e-06,8.12e-06,7787878446.0
136,1672475700000,8.13e-06,8.13e-06,8.12e-06,8.12e-06,2745479703.0
137,1672476000000,8.13e-06,8.16e-06,8.12e-06,8.14e-06,13849345736.0
138,1672476300000,8.15e-06,8.15e-06,8.12e-06,8.13e-06,4235221401.0
139,1672476600000,8.13e-06,8.13e-06,8.1e-06,8.1e-06,10177103253.0
140,1672476900000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,5053219952.0
141,1672477200000,8.12e-06,8.12e-06,8.1e-06,8.11e-06,2110146248.0
142,1672477500000,8.1e-06,8.11e-06,8.1e-06,8.1e-06,1704786508.0
143,1672477800000,8.11e-06,8.11e-06,8.1e-06,8.11e-06,2087180242.0
144,1672478100000,8.1e-06,8.11e-06,8.09e-06,8.1e-06,8370475448.0
145,1672478400000,8.09e-06,8.1e-06,8.08e-06,8.08e-06,7218176542.0
146,1672478700000,8.09e-06,8.1e-06,8.08e-06,8.09e-06,6160583456.0
147,1672479000000,8.1e-06,8.1e-06,8.08e-06,8.09e-06,3906297216.0
148,1672479300000,8.09e-06,8.1e-06,8.08e-06,8.1e-06,3397074502.0
149,1672479600000,8.09e-06,8.1e-06,8.09e-06,8.1e-06,1103490059.0
150,1672479900000,8.09e-06,8.1e-06,8.09e-06,8.1e-06,1730737467.0
151,1672480200000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,729828031.0
152,1672480500000,8.1e-06,8.1e-06,8.09e-06,8.1e-06,1070018931.0
153,1672480800000,8.1e-06,8.1e-06,8.09e-06,8.09e-06,4333728585.0
154,1672481100000,8.1e-06,8.11e-06,8.09e-06,8.1e-06,1564776273.0
155,1672481400000,8.1e-06,8.11e-06,8.1e-06,8.11e-06,1650463891.0
156,1672481700000,8.11e-06,8.12e-06,8.1e-06,8.12e-06,3365212200.0
157,1672482000000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,647738600.0
158,1672482300000,8.11e-06,8.14e-06,8.11e-06,8.12e-06,5507913410.0
159,1672482600000,8.13e-06,8.13e-06,8.12e-06,8.13e-06,1589405189.0
160,1672482900000,8.13e-06,8.13e-06,8.11e-06,8.11e-06,1929896467.0
161,1672483200000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,431271450.0
162,1672483500000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,858398260.0
163,1672483800000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,2330471160.0
164,1672484100000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,941090548.0
165,1672484400000,8.11e-06,8.13e-06,8.11e-06,8.13e-06,1550226587.0
166,1672484700000,8.13e-06,8.13e-06,8.12e-06,8.13e-06,668531544.0
167,1672485000000,8.12e-06,8.14e-06,8.12e-06,8.13e-06,6848460514.0
168,1672485300000,8.12e-06,8.13e-06,8.12e-06,8.12e-06,2408859047.0
169,1672485600000,8.13e-06,8.13e-06,8.12e-06,8.12e-06,1722915344.0
170,1672485900000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,1080238856.0
171,1672486200000,8.11e-06,8.13e-06,8.11e-06,8.12e-06,17511684070.0
172,1672486500000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,2069818980.0
173,1672486800000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,1865469141.0
174,1672487100000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,525561039.0
175,1672487400000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,484072230.0
176,1672487700000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,1866727053.0
177,1672488000000,8.12e-06,8.13e-06,8.11e-06,8.13e-06,9207327773.0
178,1672488300000,8.13e-06,8.13e-06,8.11e-06,8.12e-06,3303140649.0
179,1672488600000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,719954271.0
180,1672488900000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,358312333.0
181,1672489200000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,2822325009.0
182,1672489500000,8.11e-06,8.12e-06,8.1e-06,8.12e-06,8711376134.0
183,1672489800000,8.12e-06,8.12e-06,8.1e-06,8.11e-06,4950306621.0
184,1672490100000,8.11e-06,8.11e-06,8.08e-06,8.09e-06,6502906343.0
185,1672490400000,8.09e-06,8.1e-06,8.08e-06,8.1e-06,4260245210.0
186,1672490700000,8.09e-06,8.1e-06,8.09e-06,8.1e-06,3046228722.0
187,1672491000000,8.1e-06,8.11e-06,8.09e-06,8.11e-06,2278590132.0
188,1672491300000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,2448001325.0
189,1672491600000,8.12e-06,8.12e-06,8.1e-06,8.11e-06,5066917754.0
190,1672491900000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,492320853.0
191,1672492200000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,220628610.0
192,1672492500000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,2190195278.0
193,1672492800000,8.12e-06,8.13e-06,8.11e-06,8.13e-06,4127463272.0
194,1672493100000,8.13e-06,8.14e-06,8.12e-06,8.14e-06,2189027432.0
195,1672493400000,8.13e-06,8.16e-06,8.13e-06,8.14e-06,14445028491.0
196,1672493700000,8.13e-06,8.14e-06,8.12e-06,8.14e-06,8168588531.0
197,1672494000000,8.13e-06,8.14e-06,8.12e-06,8.14e-06,5318808140.0
198,1672494300000,8.14e-06,8.15e-06,8.13e-06,8.15e-06,3372453552.0
199,1672494600000,8.14e-06,8.15e-06,8.14e-06,8.14e-06,818798863.0
200,1672494900000,8.15e-06,8.15e-06,8.14e-06,8.15e-06,2436897088.0
201,1672495200000,8.15e-06,8.15e-06,8.13e-06,8.14e-06,3083224720.0
202,1672495500000,8.13e-06,8.15e-06,8.13e-06,8.14e-06,2990050899.0
203,1672495800000,8.14e-06,8.16e-06,8.14e-06,8.16e-06,3652371648.0
204,1672496100000,8.15e-06,8.16e-06,8.15e-06,8.15e-06,12786307330.0
205,1672496400000,8.15e-06,8.17e-06,8.15e-06,8.16e-06,4569180186.0
206,1672496700000,8.17e-06,8.19e-06,8.16e-06,8.17e-06,7065137741.0
207,1672497000000,8.17e-06,8.18e-06,8.16e-06,8.17e-06,2850706129.0
208,1672497300000,8.17e-06,8.18e-06,8.16e-06,8.17e-06,6264190432.0
209,1672497600000,8.16e-06,8.17e-06,8.15e-06,8.17e-06,9855287625.0
210,1672497900000,8.17e-06,8.17e-06,8.14e-06,8.15e-06,3804539331.0
211,1672498200000,8.15e-06,8.15e-06,8.12e-06,8.14e-06,7367644954.0
212,1672498500000,8.13e-06,8.15e-06,8.13e-06,8.15e-06,17113090946.0
213,1672498800000,8.15e-06,8.15e-06,8.14e-06,8.15e-06,1232250290.0
214,1672499100000,8.15e-06,8.16e-06,8.14e-06,8.15e-06,3791964051.0
215,1672499400000,8.14e-06,8.16e-06,8.14e-06,8.14e-06,4998591965.0
216,1672499700000,8.14e-06,8.16e-06,8.14e-06,8.15e-06,5131136114.0
217,1672500000000,8.15e-06,8.16e-06,8.15e-06,8.16e-06,869077965.0
218,1672500300000,8.15e-06,8.16e-06,8.14e-06,8.15e-06,3940397053.0
219,1672500600000,8.15e-06,8.16e-06,8.15e-06,8.16e-06,3265650382.0
220,1672500900000,8.15e-06,8.16e-06,8.15e-06,8.16e-06,2016752959.0
221,1672501200000,8.16e-06,8.16e-06,8.15e-06,8.15e-06,923689058.0
222,1672501500000,8.15e-06,8.16e-06,8.15e-06,8.16e-06,1927916617.0
223,1672501800000,8.16e-06,8.16e-06,8.15e-06,8.15e-06,926210498.0
224,1672502100000,8.15e-06,8.16e-06,8.14e-06,8.14e-06,3877753332.0
225,1672502400000,8.14e-06,8.16e-06,8.14e-06,8.16e-06,1641761107.0
226,1672502700000,8.15e-06,8.16e-06,8.15e-06,8.15e-06,1056603051.0
227,1672503000000,8.15e-06,8.17e-06,8.15e-06,8.15e-06,6276770617.0
228,1672503300000,8.16e-06,8.16e-06,8.14e-06,8.16e-06,3661668645.0
229,1672503600000,8.16e-06,8.16e-06,8.15e-06,8.15e-06,584558943.0
230,1672503900000,8.15e-06,8.16e-06,8.15e-06,8.16e-06,349635204.0
231,1672504200000,8.15e-06,8.16e-06,8.15e-06,8.15e-06,321489893.0
232,1672504500000,8.15e-06,8.16e-06,8.14e-06,8.15e-06,2964346769.0
233,1672504800000,8.15e-06,8.15e-06,8.14e-06,8.15e-06,880821493.0
234,1672505100000,8.15e-06,8.15e-06,8.14e-06,8.14e-06,255480069.0
235,1672505400000,8.15e-06,8.16e-06,8.14e-06,8.16e-06,2572157906.0
236,1672505700000,8.15e-06,8.16e-06,8.15e-06,8.15e-06,841398481.0
237,1672506000000,8.15e-06,8.16e-06,8.15e-06,8.15e-06,751507469.0
238,1672506300000,8.15e-06,8.16e-06,8.15e-06,8.15e-06,1271561997.0
239,1672506600000,8.15e-06,8.16e-06,8.13e-06,8.14e-06,8629607839.0
240,1672506900000,8.13e-06,8.14e-06,8.12e-06,8.13e-06,12404300479.0
241,1672507200000,8.13e-06,8.13e-06,8.11e-06,8.12e-06,10750075696.0
242,1672507500000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,1439816703.0
243,1672507800000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,1372821998.0
244,1672508100000,8.11e-06,8.12e-06,8.11e-06,8.11e-06,3648951937.0
245,1672508400000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,513745755.0
246,1672508700000,8.12e-06,8.12e-06,8.11e-06,8.12e-06,1134016376.0
247,1672509000000,8.11e-06,8.12e-06,8.11e-06,8.12e-06,2225998422.0
248,1672509300000,8.12e-06,8.12e-06,8.11e-06,8.11e-06,634451009.0
249,1672509600000,8.12e-06,8.13e-06,8.12e-06,8.13e-06,2237861732.0
250,1672509900000,8.12e-06,8.13e-06,8.12e-06,8.12e-06,1382704943.0
251,1672510200000,8.12e-06,8.13e-06,8.12e-06,8.12e-06,1058228134.0
252,1672510500000,8.13e-06,8.13e-06,8.12e-06,8.13e-06,458687825.0
253,1672510800000,8.13e-06,8.13e-06,8.12e-06,8.13e-06,1223483295.0
254,1672511100000,8.12e-06,8.13e-06,8.12e-06,8.12e-06,1726179835.0
255,1672511400000,8.12e-06,8.13e-06,8.12e-06,8.13e-06,1890281204.0
256,1672511700000,8.13e-06,8.13e-06,8.12e-06,8.12e-06,2239210079.0
257,1672512000000,8.13e-06,8.13e-06,8.12e-06,8.12e-06,586849758.0
