,time,open,high,low,close,volume
61,1672464900000,16549.44,16551.08,16546.75,16549.75,268.73638
62,1672465200000,16549.36,16550.18,16548.11,16549.77,183.24243
63,1672465500000,16549.57,16553.7,16545.06,16546.02,356.74588
64,1672465800000,16545.67,16547.97,16543.53,16544.51,271.1483
65,1672466100000,16544.13,16545.0,16531.0,16538.76,808.6013
66,1672466400000,16538.29,16545.28,16534.03,16543.5,403.15913
67,1672466700000,16543.5,16547.54,16541.1,16544.48,398.31255
68,1672467000000,16544.48,16553.0,16541.63,16552.12,513.36799
69,1672467300000,16551.61,16556.67,16549.51,16555.08,444.30774
70,1672467600000,16554.68,16555.26,16547.46,16547.6,292.40757
71,1672467900000,16547.97,16549.85,16543.92,16548.82,306.29919
72,1672468200000,16549.05,16551.62,16547.69,16550.46,227.49771
73,1672468500000,16550.79,16552.67,16546.6,16547.23,209.02938
74,1672468800000,16546.84,16556.58,16546.67,16550.38,333.34701
75,1672469100000,16550.04,16551.48,16545.07,16545.46,210.47805
76,1672469400000,16545.76,16548.0,16541.08,16545.3,312.48847
77,1672469700000,16545.72,16546.9,16543.39,16546.71,270.44465
78,1672470000000,16546.43,16551.25,16545.14,16549.48,278.55181
79,1672470300000,16549.96,16551.33,16547.92,16550.45,246.25324
80,1672470600000,16550.08,16551.41,16543.87,16544.96,280.33649
81,1672470900000,16544.89,16547.72,16543.86,16543.93,290.32645
82,1672471200000,16544.41,16546.2,16542.36,16544.1,155.99123
83,1672471500000,16544.1,16548.25,16543.02,16545.1,314.55192
84,1672471800000,16544.76,16550.34,16543.49,16548.32,288.29735
85,1672472100000,16548.32,16557.98,16547.23,16556.38,588.4725
86,1672472400000,16556.38,16561.19,16552.32,16560.64,386.18334
87,1672472700000,16560.64,16561.65,16555.0,16555.91,419.25294
88,1672473000000,16555.91,16565.28,16554.33,16563.94,425.68278
89,1672473300000,16563.5,16568.12,16563.39,16565.09,417.03036
90,1672473600000,16564.81,16567.32,16560.03,16561.97,353.85543
91,1672473900000,16561.6,16564.55,16560.0,16561.0,343.41826
92,1672474200000,16561.37,16563.92,16558.0,16558.93,429.82088
93,1672474500000,16559.18,16559.79,16555.06,16556.75,337.88845
94,1672474800000,16556.39,16558.95,16552.79,16557.22,336.53142
95,1672475100000,16557.63,16562.61,16553.08,16558.35,507.57918
96,1672475400000,16558.35,16567.56,16557.8,16566.43,466.61479
97,1672475700000,16566.47,16583.9,16566.1,16574.16,911.13669
98,1672476000000,16573.77,16579.45,16573.23,16578.0,519.06418
99,1672476300000,16578.0,16579.6,16561.16,16562.18,505.62072
100,1672476600000,16562.25,16564.68,16554.2,16554.4,490.2826
101,1672476900000,16554.78,16557.62,16549.0,16554.05,497.38266
102,1672477200000,16554.05,16555.45,16542.36,16543.01,480.41617
103,1672477500000,16543.08,16550.7,16540.01,16548.32,547.01155
104,1672477800000,16547.89,16555.54,16547.57,16551.55,457.83291
